datafile,sampname,variety,type,dry wt,Acetic acid butyl ester,Sabinene,β-Pinene,β-Myrcene,4-hexen-1-ol acetate,2-hexen-1-ol acetate,Eucalyptol,β-Ocimene,Benzeneacetaldehyde,2-hexen-1-yl dodecanoic acid ester,ɣ-Terpinene,trans-Oxiran-3-undecyl methyl ester,cis-Linalool oxide,trans-Linalool oxide,Terpinolene,Linalool,"(E)-4,8-Dimethylnona-1,3,7-triene",Camphor,Borneol,ɑ-Methylindene,ɑ-Terpineol,Estragole,Fenchyl acetate,cis-Geraniol,trans-Geraniol,Cuminal,Citral,Bornyl acetate,Eicosane,ɑ-Longipinene,"Unknown 43, 69, 55",ɑ-Cubebene,Eugenol,ɑ-Ylangene,Methyl cinnamate,Longicyclene,Methyleugenol,β-Elemene,Isolongifolene,cis-Bergamotene,"Unknown 95, 161, 107",Aromadendrene,Longifolene,β-Ylangene,β-Caryophyllene,ɑ-Bergamotene,β-Copaene,ɑ-Guaiene,Calarene,δ-Muurolene,ɑ-Muurolene,Humulene,(+)-epi-Bicyclosesquiphellandrene,ɣ-Muurolene,Germacrene D,Lavandulyl propionate,Valencene,"Unknown 43, 81, 105",ɑ-Amorphene,Aciphyllene,δ-Guaiene,ɣ-Cadinene,δ-Cadinene,"1,4-Cadinadiene",ɑ-Cadinene," [S-(Z)]- 3,7,11-trimethyl-1,6,10-Dodecatrien-3-ol","(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",Benzenecycloheptene,β-Elemenone,"Unknown 71, 43, 79",Spathulenol,"Unknown 109, 81, 43",Thymyl tiglate,Epicubenol,Methyl jasmonate,tau-Cadinol,"Unknown 161, 204, 105","Unknown 43, 105, 204",2-(1-phenylethyl)-Phenol,"Unknown 43, 55, 93","Unknown 43, 95, 41","2,6,10,14-Tetramethyl-7-(3-methylpent-4-enylidene) pentadecane","Unknown 161, 204, 43","Unknown 161, 43, 205","2,6,10,14-Tetramethyl octadecane"
basil0622_31.D,31lic135t1,lemon,flower,0.1902,73.5204095,0,0,488.2373252,53.50830503,0,0,239.6320878,0,0,0,0,0,0,70.0420618,0,0,0,84.49563757,77.77400489,42.69184422,0,0,1381.775496,344.2421316,211.9177383,1094.500347,0,0,0,23.33817709,196.5324946,0,35.44968872,13.19840703,0,0,453.7898541,169.6493927,0,0,0,0,1357.349683,4517.975947,2679.356691,666.5971102,0,16.38014063,1358.325821,55.38238016,414.6213968,57.4646297,125.3254178,1285.547624,28.30372951,0,0,204.2681343,0,34.85393822,142.7249955,415.4632981,1103.915613,0,0,0,0,29.08549739,0,54.75963691,0,0,23.15538298,0,154.6558314,0,145.4036423,0,0,0,0,0,0,0
basil0622_24.D,24lec2t1,lemon,leaf,0.0806,928.8976624,0,79.41125354,452.9076404,215.3106659,0,109.9486108,428.5907858,0,0,0,0,0,0,0,2125.63589,0,0,218.8405083,194.4030297,184.3163122,49.79959121,6.815869872,198.8884803,0,0,3105.111038,0,0,0,25.20718025,257.6066885,0,0,13.61581158,0,0,48.88108906,0,47.97869267,0,0,0,305.4282895,1062.143342,1322.2441,192.3083747,0,0,309.1932319,0,130.4423564,8.517089845,0,116.7670235,0,26.80196628,26.28059864,94.01773118,423.9066739,0,0,131.219967,436.1385881,0,0,0,0,0,0,40.36646895,0,0,0,0,0,0,60.47066341,0,0,0,0,0,0,0
basil0622_05.D,5ltc53t1,lettuce,flower,0.3454,325.6639645,45.62448959,122.841979,319.0997688,0,0,1470.24552,111.896199,346.0131091,0,145.2625546,0,0,147.7081487,0,9898.391295,0,410.0171317,0,13.82582041,58.75300738,5.229016234,15.11589076,0,0,255.7035756,0,194.8799846,16.21259561,9.212267044,117.7255634,27.25292302,237.4690588,20.95153986,7.442071392,18.29296419,0.973286226,1049.561216,0,191.5594065,0,0,0,429.7983452,0,6512.417308,0,627.4931377,108.0154622,614.8280331,0,125.6503879,46.67076141,0,104.6262571,199.9559451,55.05021169,39.97163817,63.03672192,674.9204679,289.1493917,554.0349535,111.0712465,33.48581774,26.00827398,0,0,17.58426009,149.5124076,0,0,0,0,26.27451477,0,175.5542073,0,15.51561316,0,12.02456084,0,0.62895539,9.490580185,8.407242446,9.985253515
basil0622_08.D,8ltc23t1,lettuce,flower,0.3885,246.6611325,23.22160725,68.74933966,225.0357692,0,1.446184704,646.6888105,0,494.5880486,0,73.45946016,0,0.182071902,135.5465307,0,6941.93891,185.1252718,0,23.60948482,35.09657112,33.56898844,3599.861323,0,0,0,202.9423265,0,147.0656677,0,4.905792964,103.4043344,27.35751373,234.7637968,0,3.890764233,0,4.282706988,330.2466334,0,0,0,0,0,119.5661725,0,3419.741519,0,214.5784222,0,317.078111,12.88963428,0,47.67921634,0,150.4517971,133.8767314,35.12394619,30.39033278,0,199.3075599,49.8581973,396.5400317,85.09946633,15.74741292,24.6492554,0,0,40.99199909,23.98989991,0,0,0,0,44.68346259,0,440.6232953,19.68439945,20.44906301,3.112606259,8.878408193,0,1.211095445,0,0,14.70665504
basil0622_33.D,33lic52t2,lettuce,flower,0.2562,30.83531986,24.24304041,61.47438181,124.4368493,0,0,737.8568475,0,125.958179,0,70.61515773,0,0,134.4643811,0,8416.074436,0,0,36.87433674,39.28749274,35.16810502,2.566617894,8.893460069,0,0,163.5203919,0,0,0,31.64373567,11.62050432,28.42189099,391.9082681,0,6.54585163,20.77914139,0,863.2543026,45.59884862,0,10.74887963,0,56.8569402,264.4331335,0,4421.090029,0,297.1908772,0,471.6912546,0,0,66.05523257,5.383300703,407.3729555,15.96201203,0,22.13349475,66.97667038,285.1308181,240.2934135,343.6367457,504.9312594,7.701309156,15.07169381,68.46626796,2.354816005,0.750779929,13.78426838,1.445852123,0,0,9.788266614,33.54576221,0,244.8969236,0,23.59237046,61.9790595,0,0,0,0,0,151.1642595
basil0622_36.D,36ltc42t1,lettuce,flower,0.2145,1542.047319,294.179508,704.828109,2512.033543,0,0,11863.35838,0,546.3143554,0,1063.038244,0,0,1990.347013,0,67211.81771,456.6822154,92.8194977,108.0059423,102.6096832,555.6194358,13.52444472,118.2536436,0,0,682.0365217,0,0,0,837.3766805,411.652075,978.764723,6355.461702,110.6091125,0,276.8832539,16.72915659,17534.17405,0,0,0,0,0,7250.670142,0,0,5377.513174,4768.617907,462.284094,10050.37463,0,1666.570256,840.8194011,57.50031577,2513.212462,532.809045,0,0,0,6422.014708,4325.73451,5225.330468,491.7915592,157.3341411,244.3099962,82.20946661,0,49.24498503,1483.182951,0,0,0,0,462.3216648,27.08296434,3539.434479,0,90.51038889,0,63.36198215,43.37688135,0,152.2540452,108.7170268,0
basil0622_80.D,80gdc86t2,lettuce,flower,0.164,0,0,0,0,218.1215331,0,574.7425933,72.88228436,0,0,0,0,0,0,0,3199.245826,1039.446299,198.718589,28.60865082,29.97301352,84.91253449,30.24095899,37.89367969,0,0,458.7022305,0,0,73.80368677,51.50417802,0,93.34721608,1422.598515,0,0,0,0,1065.150732,0,0,0,0,0,504.4181943,25.84287517,204.5010574,155.2009558,411.985815,0,655.5289655,0,201.9207512,100.398865,0,168.4281875,52.66315599,0,0,0,125.5033498,208.2837288,582.8689488,0,0,0,0,0,0,0,0,0,0,0,66.46750383,0,619.9031566,0,42.34270604,0,23.14329568,0,0,0,0,0
basil0622_07.D,7lic92t1,lettuce,leaf,0.0869,194.41256,69.9014486,219.1801794,278.1739361,23.79142705,0,1884.064266,0,367.1565709,0,0,0,0,0,25.32384309,3015.848465,0,97.43514435,90.84801727,135.0497024,142.4233671,623.2260766,0,0,0,389.8952569,0,135.7671838,168.0640741,26.57899572,24.32769094,0,2012.615551,18.43420868,0,354.3396836,579.7176885,203.3740844,743.1302414,0,194.4008923,142.5586369,1176.956993,45.59206776,0,1098.65947,0,224.3472295,175.2968104,315.7493665,0,139.1519669,50.53846995,0,57.53520401,0,0,0,0,93.25644343,16.39592467,271.5370438,0,0,0,0,0,0,0,0,0,0,28.86942611,66.53905432,0,603.9228719,22.25377186,131.2735383,599.8693544,0,0,0,0,0,1502.317904
basil0622_15.D,15ltc51t1,lettuce,leaf,0.0915,7491.04927,0,0,0,0,0,0,0,3568.097307,0,0,0,0,0,0,0,0,0,369.9883981,555.3541084,0,32.58779463,48.60825232,0,0,2248.298777,0,1392.91158,0,0,480.7834471,0,0,0,33.46702215,0,0,0,0,0,12.25895936,0,133.1614408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.49428452,0,0,0,36.56974392,17.44749961,0,0,0,0,0,145.712492,0,0,0,0,0,590.4971632
basil0622_59.D,59lic0t2,lime,flower,0.1344,578.1384571,0,0,0,393.6471283,0,0,0,0,0,0,0,0,0,0,0,866.0520664,0,218.9615885,223.5896164,0,64802.96589,0,0,0,481.1359527,0,0,0,0,0,61.48270581,0,0,0,136.1411352,27.56323135,222.7610427,237.1634432,0,68.17632696,0,415.9383663,262.1571346,742.0448198,1144.951029,0,0,0,0,0,79.99126674,0,0,129.5035123,0,0,0,0,0,0,0,63.39093507,445.0797915,0,0,0,0,0,0,0,0,0,0,0,0,0,203.5505176,607.4410398,0,0,0,0,0,1568.746623
